data,contaminant,lat,lng,valor
2025-02-14,O3,41.303097,1.9914981,52
2025-02-14,NOX,41.303097,1.9914981,66
2025-02-14,SO2,41.303097,1.9914981,3
2025-02-14,CO,41.303097,1.9914981,0.3
2025-02-14,PM10,41.370476,2.1149993,32
2025-02-14,NOX,41.370476,2.1149993,106
2025-02-14,NO,41.370476,2.1149993,29
2025-02-14,NO2,41.370476,2.1149993,75
2025-02-14,NO,41.425594,2.2221997,57
2025-02-14,NO2,41.425594,2.2221997,69
2025-02-14,PM10,41.425594,2.2221997,38
2025-02-14,NOX,41.425594,2.2221997,139
2025-02-14,O3,41.425594,2.2221997,68
2025-02-14,NO,41.447422,2.209497,55
2025-02-14,NO2,41.447422,2.209497,68
2025-02-14,NOX,41.447422,2.209497,128
2025-01-06,O3,41.303097,1.9914981,78
2025-01-06,SO2,41.303097,1.9914981,25
2025-01-06,CO,41.303097,1.9914981,25
2025-01-06,NOX,41.303097,1.9914981,25
2025-01-06,NO2,41.303097,1.9914981,25
2025-01-06,NO,41.370476,2.1149993,29
2025-01-06,NO2,41.370476,2.1149993,62
2025-01-06,PM10,41.370476,2.1149993,48
2025-01-06,NOX,41.370476,2.1149993,95
2025-01-06,NO,41.425594,2.2221997,10
2025-01-06,NO2,41.425594,2.2221997,54
2025-01-06,PM10,41.425594,2.2221997,32
2025-01-06,NOX,41.425594,2.2221997,63
2025-01-06,O3,41.425594,2.2221997,63
2025-01-06,NO,41.447422,2.209497,23
2025-01-06,NO2,41.447422,2.209497,43
2025-01-06,NOX,41.447422,2.209497,47
